               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037559,            0.019977,            0.016663,             0.56713,             0.40277,             0.43245,             0.23874,            0.032061,            0.010729,           0.0083051,          0.00091483,          0.00091483,            0.036165
                  37,            0.038481,            0.018184,             0.01675,             0.57765,             0.40004,             0.43639,             0.24014,            0.032013,            0.010693,           0.0082519,          0.00093797,          0.00093797,            0.035788
                  38,            0.036449,            0.018133,            0.015586,             0.58837,             0.39816,             0.44474,             0.24577,            0.031915,            0.010659,           0.0081106,          0.00096098,          0.00096098,            0.035411
                  39,            0.037035,            0.018793,            0.014446,             0.58292,             0.40415,             0.44784,             0.24695,            0.031815,            0.010619,           0.0079569,          0.00098386,          0.00098386,            0.035034
                  40,            0.037505,            0.019315,            0.016733,             0.54519,             0.41565,             0.44936,              0.2462,            0.031754,            0.010588,           0.0079354,           0.0010066,           0.0010066,            0.034657
                  41,            0.037745,             0.02074,            0.016641,             0.60487,              0.3942,             0.45658,             0.25101,            0.031667,            0.010547,           0.0078058,           0.0010292,           0.0010292,            0.034279
                  42,            0.038853,            0.019793,            0.016852,             0.58351,             0.41368,             0.45804,             0.25224,            0.031567,            0.010514,           0.0076978,           0.0010516,           0.0010516,            0.033902
                  43,            0.035949,            0.017087,              0.0147,             0.61945,             0.40739,             0.46061,             0.25673,            0.031404,            0.010481,           0.0075599,           0.0010739,           0.0010739,            0.033524
                  44,            0.036397,            0.016585,            0.014363,             0.62646,              0.4112,             0.46269,             0.25777,            0.031335,            0.010451,           0.0075089,           0.0010961,           0.0010961,            0.033146
                  45,            0.037439,            0.018675,            0.015194,             0.64018,             0.40447,             0.46453,             0.25741,            0.031287,            0.010424,           0.0074472,           0.0011181,           0.0011181,            0.032768
                  46,            0.038143,            0.021371,            0.016089,             0.63061,             0.40109,             0.46528,             0.25711,            0.031264,            0.010425,            0.007487,           0.0011399,           0.0011399,             0.03239
                  47,             0.03721,            0.019487,            0.015611,             0.62912,              0.4008,             0.46988,             0.26131,            0.031209,            0.010387,           0.0074062,           0.0011616,           0.0011616,            0.032012
                  48,            0.037337,            0.019768,            0.015664,             0.63155,             0.40048,             0.47126,             0.26452,            0.031053,            0.010344,           0.0072595,           0.0011831,           0.0011831,            0.031633
                  49,            0.037886,            0.019445,            0.016695,             0.59599,             0.43123,              0.4809,             0.26613,            0.030942,            0.010303,           0.0071618,           0.0012044,           0.0012044,            0.031254
                  50,            0.038418,            0.017397,            0.016361,             0.57167,              0.4678,             0.48895,             0.27153,            0.030833,            0.010291,           0.0071355,           0.0012256,           0.0012256,            0.030876
                  51,            0.037758,            0.019283,             0.01535,             0.61958,             0.45229,             0.49142,              0.2738,             0.03084,            0.010277,           0.0070375,           0.0012466,           0.0012466,            0.030497
                  52,            0.036384,             0.01873,            0.014498,             0.60358,             0.46619,             0.49664,             0.27735,            0.030728,            0.010244,            0.006937,           0.0012675,           0.0012675,            0.030117
                  53,            0.037379,            0.018412,            0.015348,             0.59938,             0.46145,             0.49757,             0.27963,            0.030707,            0.010221,           0.0069134,           0.0012881,           0.0012881,            0.029738
                  54,            0.037677,            0.018307,            0.015943,             0.61363,             0.46708,             0.50145,             0.28362,            0.030658,            0.010201,            0.006841,           0.0013086,           0.0013086,            0.029359
                  55,            0.037508,            0.019753,            0.016015,             0.61179,             0.46177,             0.50068,             0.28058,            0.030625,            0.010183,           0.0067847,           0.0013289,           0.0013289,            0.028979
                  56,            0.035663,            0.017214,            0.013769,             0.64699,             0.44774,             0.50584,             0.28017,            0.030557,            0.010153,           0.0067173,            0.001349,            0.001349,            0.028599
                  57,            0.037938,            0.020075,            0.014507,             0.64317,              0.4606,              0.5093,             0.28778,            0.030434,            0.010113,            0.006609,           0.0013689,           0.0013689,            0.028219
                  58,             0.03628,            0.019563,            0.013576,             0.65883,              0.4652,             0.51708,             0.29169,            0.030346,            0.010091,           0.0065217,           0.0013886,           0.0013886,            0.027839
                  59,            0.036553,            0.019802,            0.013996,             0.65948,             0.46597,             0.51428,             0.29039,             0.03027,            0.010052,           0.0064322,           0.0014081,           0.0014081,            0.027458
                  60,            0.036587,            0.020247,            0.014949,             0.62121,             0.46848,             0.51854,             0.29683,            0.030204,            0.010029,           0.0063952,           0.0014274,           0.0014274,            0.027077
                  61,            0.035416,            0.017862,            0.013188,              0.6449,             0.45163,             0.52147,             0.29658,            0.030173,            0.010022,           0.0063629,           0.0014466,           0.0014466,            0.026697
                  62,            0.036115,            0.018592,            0.014911,             0.66027,             0.45669,             0.52243,             0.30049,            0.030082,           0.0099871,           0.0062402,           0.0014655,           0.0014655,            0.026315
                  63,            0.036831,            0.019263,            0.014244,             0.68661,             0.45856,             0.53223,             0.30737,            0.030037,           0.0099534,           0.0061737,           0.0014842,           0.0014842,            0.025934
                  64,            0.036842,            0.019189,            0.014623,             0.64633,             0.48462,             0.53631,             0.30692,             0.02991,           0.0099278,           0.0060705,           0.0015027,           0.0015027,            0.025553
                  65,            0.035699,            0.016979,            0.012725,             0.64657,             0.48682,             0.53615,             0.30823,            0.029861,            0.009897,           0.0060425,            0.001521,            0.001521,            0.025171
                  66,            0.036374,            0.017015,            0.013431,             0.64476,             0.49399,              0.5415,             0.30572,            0.029822,           0.0098831,           0.0060039,           0.0015391,           0.0015391,            0.024789
                  67,            0.037587,            0.020597,            0.015193,             0.61686,             0.50554,              0.5444,             0.31077,            0.029864,           0.0098657,           0.0059849,            0.001557,            0.001557,            0.024407
                  68,            0.035567,            0.019314,            0.013252,             0.67762,             0.48085,             0.54723,             0.31517,             0.02967,           0.0098234,           0.0058671,           0.0015747,           0.0015747,            0.024025
                  69,            0.035881,            0.019146,            0.013373,             0.68246,              0.4872,             0.54904,             0.31686,            0.029559,           0.0097878,           0.0057788,           0.0015921,           0.0015921,            0.023642
                  70,            0.036746,            0.018571,            0.013851,             0.63817,             0.50196,             0.55213,             0.32385,            0.029485,           0.0097596,            0.005695,           0.0016093,           0.0016093,            0.023259
                  71,            0.035606,            0.017516,            0.013704,             0.69224,             0.48693,             0.55434,             0.32199,            0.029416,           0.0097438,           0.0056369,           0.0016263,           0.0016263,            0.022876
                  72,             0.03596,            0.016917,            0.014597,             0.63837,             0.50571,             0.55537,             0.32117,            0.029435,            0.009731,           0.0056182,           0.0016431,           0.0016431,            0.022493
                  73,            0.036538,             0.01703,            0.013448,             0.63508,             0.50764,             0.54923,              0.3193,            0.029346,           0.0097225,           0.0055916,           0.0016597,           0.0016597,             0.02211
                  74,            0.036898,            0.018954,            0.014179,              0.6573,             0.50484,             0.55749,             0.32903,            0.029288,           0.0096975,            0.005574,            0.001676,            0.001676,            0.021726
                  75,            0.035098,            0.018966,            0.013122,             0.64118,             0.51387,             0.56286,             0.33126,            0.029219,           0.0096792,            0.005528,           0.0016921,           0.0016921,            0.021342
                  76,            0.036506,            0.019124,            0.014045,             0.62909,             0.52691,             0.56744,             0.33124,            0.029177,           0.0096645,           0.0054868,           0.0017079,           0.0017079,            0.020958
                  77,            0.036993,            0.018482,            0.014505,             0.63814,              0.5231,             0.56879,             0.33367,            0.029203,           0.0096437,           0.0054775,           0.0017236,           0.0017236,            0.020574
                  78,            0.036701,            0.017725,            0.013977,             0.65297,             0.51829,             0.56868,             0.32817,            0.029167,           0.0096154,            0.005474,           0.0017389,           0.0017389,            0.020189
                  79,             0.03561,            0.018191,            0.013124,             0.64474,             0.52209,             0.56997,             0.33365,            0.029128,            0.009613,           0.0054711,           0.0017541,           0.0017541,            0.019804
                  80,            0.035388,            0.018205,            0.013173,             0.64127,             0.52177,             0.56671,              0.3313,            0.029044,           0.0095934,           0.0053958,            0.001769,            0.001769,            0.019419
                  81,            0.033608,            0.016868,            0.012368,             0.64607,             0.51756,             0.57288,              0.3381,            0.028989,           0.0095803,           0.0053748,           0.0017836,           0.0017836,            0.019034
                  82,             0.03509,            0.019161,            0.013104,             0.66998,             0.51746,             0.58367,             0.34501,            0.028869,           0.0095734,           0.0052889,           0.0017981,           0.0017981,            0.018648
                  83,            0.035777,            0.018705,            0.013273,             0.67978,              0.5067,             0.58367,             0.34928,            0.028764,           0.0095417,           0.0052191,           0.0018122,           0.0018122,            0.018262
                  84,            0.034676,            0.017585,            0.013554,             0.71246,               0.509,             0.58244,             0.35137,            0.028757,           0.0095092,           0.0051526,           0.0018262,           0.0018262,            0.017876
                  85,             0.03521,            0.019325,            0.013358,             0.65954,             0.52858,             0.58686,             0.35534,            0.028638,           0.0094905,           0.0051095,           0.0018398,           0.0018398,             0.01749
                  86,            0.034176,            0.017748,            0.011867,              0.6746,             0.52884,             0.58724,             0.35082,            0.028612,           0.0094804,           0.0051138,           0.0018533,           0.0018533,            0.017103
                  87,            0.035242,            0.017595,            0.012513,             0.70333,             0.51469,              0.5914,             0.35194,             0.02866,           0.0094601,           0.0050902,           0.0018664,           0.0018664,            0.016716
                  88,            0.034411,            0.018256,             0.01226,             0.71477,             0.51599,             0.59008,             0.35725,            0.028612,           0.0094422,            0.005009,           0.0018794,           0.0018794,            0.016329
                  89,            0.034379,            0.018829,            0.012895,             0.69749,             0.51909,             0.59598,             0.35632,            0.028557,           0.0094185,            0.004998,            0.001892,            0.001892,            0.015942
                  90,            0.034489,            0.018198,            0.012023,             0.69753,             0.52634,             0.59956,             0.35835,            0.028465,           0.0094164,           0.0049484,           0.0019045,           0.0019045,            0.015554
                  91,            0.032482,            0.015832,            0.010312,             0.69788,             0.52776,             0.59613,             0.35721,            0.028504,           0.0093752,           0.0048564,           0.0019166,           0.0019166,            0.015167
                  92,            0.033997,            0.016232,            0.012616,             0.65213,             0.55324,             0.60416,             0.36576,            0.028304,           0.0093514,           0.0047644,           0.0019285,           0.0019285,            0.014779
                  93,            0.033615,            0.017653,            0.011299,             0.67362,             0.55778,             0.60461,             0.36743,            0.028162,           0.0093099,           0.0047035,           0.0019401,           0.0019401,             0.01439
                  94,            0.033928,            0.016764,            0.011531,             0.69404,             0.55491,             0.61175,             0.37483,            0.027988,           0.0092689,           0.0046234,           0.0019515,           0.0019515,            0.014002
                  95,            0.033769,            0.016733,            0.012001,             0.70449,             0.54842,             0.62183,             0.38298,            0.027944,           0.0092578,           0.0045729,           0.0019626,           0.0019626,            0.013613
                  96,            0.035315,            0.018709,            0.012975,             0.70305,             0.54565,             0.62628,             0.38168,            0.027917,           0.0092409,           0.0045114,           0.0019735,           0.0019735,            0.013223
                  97,            0.035006,            0.019696,             0.01253,             0.72723,             0.53604,             0.61959,             0.37993,            0.027907,           0.0092193,           0.0044817,           0.0019841,           0.0019841,            0.012834
                  98,            0.035601,            0.019094,            0.011853,             0.70005,             0.55616,             0.62108,             0.37887,            0.027946,           0.0092116,           0.0045087,           0.0019944,           0.0019944,            0.012444
                  99,            0.034404,             0.01654,            0.012016,             0.74816,             0.54014,             0.62478,             0.37778,            0.027941,           0.0091965,           0.0044531,           0.0020045,           0.0020045,            0.012054
                 100,            0.034609,            0.018383,             0.01224,             0.69869,              0.5559,             0.63056,             0.38691,            0.027789,           0.0091585,           0.0043548,           0.0020143,           0.0020143,            0.011664
                 101,            0.033775,            0.015971,            0.011335,             0.76569,             0.52939,             0.62452,             0.38327,            0.027734,           0.0091581,           0.0043227,           0.0020238,           0.0020238,            0.011274
                 102,            0.033883,            0.017074,            0.011856,             0.73071,             0.54339,              0.6235,             0.38138,             0.02773,           0.0091222,           0.0042783,           0.0020331,           0.0020331,            0.010883
                 103,            0.034263,            0.017512,            0.011919,             0.71349,             0.55407,             0.62659,             0.38674,             0.02763,           0.0090951,           0.0042275,           0.0020421,           0.0020421,            0.010492
                 104,             0.03549,            0.017499,             0.01308,             0.72461,             0.55066,             0.62977,             0.38761,             0.02763,           0.0090593,           0.0041742,           0.0020508,           0.0020508,            0.010101
                 105,            0.035199,            0.017914,            0.011982,               0.746,             0.55065,             0.63067,             0.39437,            0.027563,           0.0090596,           0.0041579,           0.0020592,           0.0020592,           0.0097092
                 106,             0.03432,            0.020474,            0.011028,             0.76748,             0.55109,             0.63157,             0.39684,            0.027492,            0.009036,           0.0041304,           0.0020674,           0.0020674,           0.0093174
                 107,             0.03465,            0.016985,            0.012534,             0.75267,             0.55413,             0.63457,             0.40363,            0.027487,           0.0090272,           0.0041173,           0.0020753,           0.0020753,           0.0089253
                 108,            0.032279,            0.016816,            0.010144,             0.68438,             0.57538,             0.63701,             0.40226,            0.027359,           0.0090275,           0.0040712,            0.002083,            0.002083,            0.008533
                 109,            0.034162,            0.019002,            0.010483,             0.68216,              0.5821,             0.63685,             0.40168,            0.027327,           0.0090054,           0.0040444,           0.0020904,           0.0020904,           0.0081404
                 110,            0.034998,            0.016706,            0.012865,              0.6771,              0.5828,             0.63812,             0.40466,            0.027285,           0.0089768,           0.0040221,           0.0020975,           0.0020975,           0.0077475
                 111,            0.034495,            0.018042,             0.01202,             0.77025,             0.54522,             0.64129,             0.40176,            0.027298,           0.0089212,           0.0039635,           0.0021043,           0.0021043,           0.0073543
                 112,            0.034433,            0.016291,            0.012674,             0.74191,             0.55976,             0.64158,             0.40418,            0.027184,           0.0089032,           0.0039288,           0.0021109,           0.0021109,           0.0069609
                 113,             0.03387,            0.018334,            0.011251,             0.78114,             0.55074,             0.65121,             0.41426,            0.027116,           0.0088908,           0.0039086,           0.0021172,           0.0021172,           0.0065672
                 114,            0.033199,            0.015817,             0.01121,             0.75377,             0.56166,             0.64835,             0.40922,            0.027107,           0.0088903,            0.003873,           0.0021232,           0.0021232,           0.0061732
                 115,             0.03289,             0.01555,            0.011009,             0.73021,             0.56841,             0.64938,              0.4094,            0.027083,           0.0088911,            0.003872,           0.0021289,           0.0021289,           0.0057789
                 116,             0.03277,            0.015904,            0.010132,             0.77939,              0.5604,             0.64748,             0.40029,            0.027256,           0.0088677,           0.0038099,           0.0021344,           0.0021344,           0.0053844
                 117,            0.032266,            0.016911,            0.010366,             0.77405,             0.56811,             0.65047,             0.40718,            0.026998,           0.0088308,           0.0037487,           0.0021396,           0.0021396,           0.0049896
                 118,            0.033786,            0.018416,            0.011915,             0.78106,              0.5595,             0.65102,             0.40452,            0.026988,           0.0088158,           0.0037479,           0.0021445,           0.0021445,           0.0045945
                 119,            0.033926,            0.016226,            0.010936,             0.74357,             0.58511,             0.65304,             0.41084,            0.026928,           0.0088097,           0.0037376,           0.0021492,           0.0021492,           0.0041992
                 120,            0.033968,            0.017142,            0.011372,             0.72915,             0.58852,             0.65402,             0.41196,            0.026866,           0.0087785,           0.0036707,           0.0021536,           0.0021536,           0.0038036
                 121,            0.032386,            0.014837,           0.0099224,             0.72844,             0.59072,             0.65835,             0.41247,            0.026846,           0.0087646,           0.0036226,           0.0021577,           0.0021577,           0.0034077
                 122,            0.033762,            0.017847,            0.011476,             0.72055,             0.60056,             0.65958,             0.41323,            0.026747,           0.0087306,           0.0035994,           0.0021616,           0.0021616,           0.0030116
                 123,            0.034294,            0.016795,            0.012272,             0.69709,             0.60729,             0.65975,             0.41918,            0.026686,           0.0087218,           0.0035638,           0.0021652,           0.0021652,           0.0026152
                 124,            0.032263,            0.016319,            0.010784,             0.67484,             0.62396,             0.66204,             0.41776,            0.026691,            0.008727,           0.0035568,           0.0021685,           0.0021685,           0.0022185
                 125,            0.033776,            0.019762,            0.011119,             0.65847,              0.6257,             0.66115,             0.41755,            0.026688,           0.0086862,            0.003526,           0.0021564,           0.0021564,           0.0021564
                 126,            0.032202,            0.016247,            0.010478,             0.63662,             0.64558,             0.66416,             0.41891,            0.026671,            0.008637,           0.0035079,           0.0021564,           0.0021564,           0.0021564
                 127,            0.033177,            0.019195,           0.0098877,             0.74387,             0.58771,              0.6643,             0.41893,            0.026616,            0.008588,           0.0034753,           0.0021422,           0.0021422,           0.0021422
                 128,            0.033739,            0.016306,              0.0125,             0.74581,             0.59723,             0.67076,              0.4237,            0.026623,             0.00856,           0.0034835,           0.0021279,           0.0021279,           0.0021279
                 129,            0.033308,            0.016246,            0.012447,             0.71894,              0.6108,             0.66891,              0.4281,            0.026589,           0.0085811,           0.0034939,           0.0021135,           0.0021135,           0.0021135
