               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.027869,            0.015384,            0.012413,              0.5838,             0.52675,             0.59338,             0.37168,             0.02356,           0.0094881,           0.0056444,          0.00091483,          0.00091483,            0.036165
                  37,             0.02824,            0.016739,            0.011555,             0.50678,             0.58003,             0.59576,             0.37473,            0.023414,           0.0094669,           0.0056114,          0.00093797,          0.00093797,            0.035788
                  38,            0.028813,            0.016565,            0.012534,             0.57438,             0.53044,             0.59861,             0.38133,            0.023395,           0.0094183,           0.0055466,          0.00096098,          0.00096098,            0.035411
                  39,             0.02791,            0.015957,            0.012002,             0.61532,             0.52046,             0.60597,              0.3842,            0.023173,           0.0093802,           0.0054713,          0.00098386,          0.00098386,            0.035034
                  40,            0.028887,            0.016329,            0.011948,             0.60027,             0.54257,             0.60862,             0.38764,            0.023001,           0.0093482,           0.0053932,           0.0010066,           0.0010066,            0.034657
                  41,            0.028711,            0.016972,            0.012279,             0.59776,             0.54136,             0.60607,             0.38119,            0.022886,           0.0093415,           0.0053771,           0.0010292,           0.0010292,            0.034279
                  42,            0.027211,            0.016513,              0.0109,             0.53379,               0.589,             0.61061,              0.3837,            0.022645,           0.0093012,           0.0052761,           0.0010516,           0.0010516,            0.033902
                  43,            0.027389,            0.015794,            0.011582,             0.62738,             0.53645,             0.61213,             0.38563,            0.022578,            0.009262,           0.0051952,           0.0010739,           0.0010739,            0.033524
                  44,            0.027564,            0.017136,            0.012057,             0.62225,             0.54027,             0.61946,             0.38817,            0.022365,           0.0092267,           0.0051429,           0.0010961,           0.0010961,            0.033146
                  45,            0.028821,            0.016288,            0.011808,             0.62632,              0.5568,             0.62459,             0.39398,             0.02224,           0.0092007,           0.0050723,           0.0011181,           0.0011181,            0.032768
                  46,            0.027827,            0.015299,            0.011801,             0.62783,             0.55604,             0.62609,             0.39693,            0.022218,           0.0091704,           0.0050508,           0.0011399,           0.0011399,             0.03239
                  47,            0.027863,            0.016482,            0.011355,             0.62152,             0.56287,             0.62717,             0.40146,             0.02213,           0.0091407,           0.0049974,           0.0011616,           0.0011616,            0.032012
                  48,            0.028286,            0.016383,            0.012039,             0.63621,             0.56272,             0.62598,             0.39851,               0.022,           0.0091182,           0.0049561,           0.0011831,           0.0011831,            0.031633
                  49,            0.028736,            0.017691,            0.012607,              0.6586,              0.5532,             0.62735,             0.40127,            0.021884,           0.0090936,           0.0049292,           0.0012044,           0.0012044,            0.031254
                  50,            0.026531,            0.015106,            0.010659,             0.64507,             0.55481,             0.63098,             0.40075,            0.021865,           0.0090695,           0.0049326,           0.0012256,           0.0012256,            0.030876
                  51,            0.028059,             0.01603,            0.012246,             0.65832,             0.55964,             0.63406,             0.40848,            0.021732,           0.0090382,           0.0048401,           0.0012466,           0.0012466,            0.030497
                  52,            0.028437,            0.016378,            0.012376,             0.57618,             0.60907,             0.63653,             0.41053,            0.021625,           0.0090047,           0.0048098,           0.0012675,           0.0012675,            0.030117
                  53,            0.027068,            0.016761,            0.010887,             0.66067,             0.56636,             0.64096,             0.40856,            0.021658,           0.0089764,           0.0047473,           0.0012881,           0.0012881,            0.029738
                  54,            0.027465,            0.017157,            0.012624,             0.59596,             0.59671,             0.63708,             0.41204,            0.021523,           0.0089663,           0.0046899,           0.0013086,           0.0013086,            0.029359
                  55,            0.026044,            0.014361,             0.01115,             0.60574,             0.59725,             0.64082,             0.41398,            0.021502,           0.0089452,           0.0046534,           0.0013289,           0.0013289,            0.028979
                  56,            0.028177,            0.016679,            0.011597,             0.67464,             0.57874,             0.64505,             0.41932,            0.021379,           0.0089173,           0.0045867,            0.001349,            0.001349,            0.028599
                  57,            0.027391,            0.014122,            0.011534,             0.66448,             0.58055,             0.64504,             0.41995,            0.021349,           0.0088928,           0.0045487,           0.0013689,           0.0013689,            0.028219
                  58,             0.02648,            0.016607,           0.0099257,             0.67902,             0.57962,             0.65046,             0.42212,            0.021261,           0.0088725,            0.004487,           0.0013886,           0.0013886,            0.027839
                  59,            0.027545,            0.015475,            0.011161,             0.68371,             0.58073,              0.6526,             0.42702,            0.021331,           0.0088419,           0.0044615,           0.0014081,           0.0014081,            0.027458
                  60,            0.027758,            0.016298,            0.011932,             0.68348,             0.59307,             0.65759,             0.42635,            0.021217,           0.0088138,             0.00442,           0.0014274,           0.0014274,            0.027077
                  61,            0.027159,            0.017156,            0.010909,             0.67407,             0.59855,             0.65878,             0.42694,             0.02108,           0.0087694,           0.0043477,           0.0014466,           0.0014466,            0.026697
                  62,            0.026445,            0.016567,            0.010612,             0.67369,             0.59152,             0.65764,             0.43303,             0.02094,           0.0087567,           0.0043122,           0.0014655,           0.0014655,            0.026315
                  63,            0.027548,            0.017514,            0.010657,             0.66628,             0.59575,             0.65422,             0.42648,            0.020843,           0.0087513,           0.0043165,           0.0014842,           0.0014842,            0.025934
                  64,            0.026354,            0.015868,            0.010681,             0.67343,             0.59531,             0.65476,             0.43406,            0.020809,           0.0087229,           0.0042892,           0.0015027,           0.0015027,            0.025553
                  65,            0.027453,            0.015229,            0.011209,             0.68503,             0.58949,             0.65672,             0.43141,            0.020869,           0.0086971,            0.004254,            0.001521,            0.001521,            0.025171
                  66,            0.024915,            0.014193,           0.0099537,              0.7178,              0.5715,             0.65757,             0.42971,            0.020868,           0.0086775,           0.0042151,           0.0015391,           0.0015391,            0.024789
                  67,             0.02596,            0.015025,            0.010439,             0.72329,             0.58121,             0.66338,             0.43753,             0.02081,             0.00866,           0.0042001,            0.001557,            0.001557,            0.024407
                  68,            0.026917,            0.016134,            0.011683,             0.68058,             0.61211,             0.66768,             0.44201,            0.020698,           0.0086463,           0.0041646,           0.0015747,           0.0015747,            0.024025
                  69,            0.026039,            0.018082,            0.010281,              0.6719,             0.61764,             0.67082,             0.44345,            0.020678,           0.0086215,           0.0041221,           0.0015921,           0.0015921,            0.023642
                  70,            0.026917,            0.016837,            0.011507,             0.66897,             0.61832,             0.67037,             0.44497,            0.020821,            0.008579,           0.0040743,           0.0016093,           0.0016093,            0.023259
                  71,            0.026518,            0.016291,            0.010968,             0.64141,             0.64019,             0.66788,             0.44771,            0.020628,           0.0085485,            0.004042,           0.0016263,           0.0016263,            0.022876
                  72,            0.026736,            0.015854,           0.0099426,             0.67181,             0.63169,             0.67307,             0.44922,            0.020538,           0.0085516,           0.0040274,           0.0016431,           0.0016431,            0.022493
                  73,            0.027258,            0.016935,            0.011273,             0.69151,             0.62318,             0.67419,             0.44839,            0.020504,           0.0085306,            0.003996,           0.0016597,           0.0016597,             0.02211
                  74,            0.027115,            0.016395,            0.011249,             0.71874,             0.60255,             0.67673,              0.4469,            0.020628,           0.0085156,           0.0039823,            0.001676,            0.001676,            0.021726
                  75,            0.027972,            0.015954,            0.011556,             0.74345,             0.60747,             0.67691,             0.44811,             0.02057,            0.008496,           0.0039388,           0.0016921,           0.0016921,            0.021342
                  76,            0.025526,            0.015985,           0.0098302,             0.74616,             0.61686,             0.67762,              0.4518,            0.020487,           0.0084645,           0.0038882,           0.0017079,           0.0017079,            0.020958
                  77,            0.026747,            0.015356,            0.010362,             0.73998,             0.61703,             0.68232,             0.44793,            0.020408,           0.0084544,           0.0038825,           0.0017236,           0.0017236,            0.020574
                  78,            0.026579,            0.016519,            0.010397,             0.73769,             0.61801,             0.67953,             0.44831,            0.020644,            0.008434,           0.0038719,           0.0017389,           0.0017389,            0.020189
