               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.036406,            0.019165,            0.015643,             0.59681,             0.44896,             0.50155,             0.32086,            0.029432,            0.010897,           0.0083942,          0.00091483,          0.00091483,            0.036165
                  37,            0.035602,            0.018117,            0.014522,             0.62426,              0.4325,             0.49037,             0.31461,             0.02973,            0.010874,           0.0082401,          0.00093797,          0.00093797,            0.035788
                  38,            0.034897,             0.01954,            0.013876,             0.62713,             0.45317,             0.49153,             0.32146,            0.029649,            0.011097,           0.0085178,          0.00096098,          0.00096098,            0.035411
                  39,            0.035065,            0.019523,            0.014167,             0.62892,             0.45445,             0.49787,             0.31953,            0.029529,            0.010974,           0.0084277,          0.00098386,          0.00098386,            0.035034
                  40,            0.034656,            0.021943,            0.013362,             0.64125,             0.45775,             0.50003,             0.31975,            0.029287,            0.010799,           0.0080395,           0.0010066,           0.0010066,            0.034657
                  41,            0.036278,            0.019408,             0.01491,             0.61817,             0.46896,             0.49786,             0.31588,            0.029366,            0.010842,            0.008048,           0.0010292,           0.0010292,            0.034279
                  42,            0.034845,            0.018816,            0.014096,             0.62716,             0.46834,             0.50255,              0.3209,            0.029226,            0.010808,           0.0078981,           0.0010516,           0.0010516,            0.033902
                  43,            0.035004,            0.018308,            0.014317,             0.63628,             0.47081,             0.50046,             0.31895,             0.02909,            0.010813,           0.0080286,           0.0010739,           0.0010739,            0.033524
                  44,            0.034565,             0.01932,            0.013879,             0.59968,             0.47787,             0.49411,             0.31729,            0.029392,            0.010891,           0.0081978,           0.0010961,           0.0010961,            0.033146
                  45,            0.034195,             0.01817,            0.013683,             0.65177,             0.46958,             0.50826,             0.32335,            0.029158,            0.010754,            0.007792,           0.0011181,           0.0011181,            0.032768
                  46,            0.035074,            0.019004,            0.013406,             0.63018,             0.47361,              0.5185,             0.33094,            0.028835,            0.010564,           0.0075948,           0.0011399,           0.0011399,             0.03239
                  47,            0.034735,            0.018375,            0.013744,             0.66773,             0.44621,             0.52136,             0.33808,            0.028504,            0.010518,           0.0076111,           0.0011616,           0.0011616,            0.032012
                  48,            0.036408,            0.019993,            0.014085,             0.63538,             0.46526,             0.51717,             0.33426,            0.028702,            0.010538,           0.0075736,           0.0011831,           0.0011831,            0.031633
                  49,            0.034952,            0.018148,            0.014527,             0.63614,             0.46504,             0.51014,             0.32043,            0.028631,            0.010533,            0.007558,           0.0012044,           0.0012044,            0.031254
                  50,             0.03364,             0.01762,            0.013408,              0.6541,             0.46809,             0.51749,             0.32759,            0.028624,            0.010549,           0.0074391,           0.0012256,           0.0012256,            0.030876
                  51,            0.034477,            0.018409,            0.014449,             0.59689,             0.47453,             0.51582,             0.33717,             0.02945,            0.010636,           0.0078494,           0.0012466,           0.0012466,            0.030497
